	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
262	4	214.17618916460168	18.713300054617847	4	5134.0	4	35	1
263	5	93.81009820306238	24.78051128630494	5	1.0	0	35	1
264	6	128.63463559687415	19.931399032536397	5	1.0	0	35	1
265	7	150.039412050806	25.90521679260398	5	1.0	0	35	1
266	8	191.00499505920544	22.85052866193194	5	1.0	0	35	1
267	9	245.56660970614251	32.07470745650207	7	3036.0	3	35	1
268	10	126.11569048502204	36.2923390690857	8	25.0	1	35	1
269	11	156.2732522271689	41.109276509112576	9	28850.0	4	35	1
270	12	145.71587679533502	46.06952601064534	11	1.0	0	35	1
271	13	134.5046665649325	42.980753463084795	9	28850.0	4	35	1
272	14	139.2792074307212	48.87925947922682	11	1.0	0	35	1
273	15	124.23986962975684	51.947407973646754	11	1.0	0	35	1
274	1	266.1786757305532	1.5	1	69974.0	5	36	1
275	2	264.9438131415148	7.473721114001559	2	61.0	2	36	1
276	3	396.53262948513617	17.59188780005506	4	104.0	2	36	1
277	4	131.41806623643942	31.720289635328903	6	3.0	0	36	1
278	5	178.56414692379226	28.793932450651788	6	3.0	0	36	1
279	6	290.7920324631383	37.44207830936805	7	93.0	2	36	1
280	7	185.14589827022385	45.14553327013553	8	15.0	1	36	1
281	8	105.78936647706867	50.34655096068059	9	28850.0	4	36	1
282	9	161.69244078519736	60.237535200981426	10	1.0	0	36	1
283	1	280.36010304724397	1.5	1	69974.0	5	37	1
284	2	246.61927278831686	6.484188652696113	2	213.0	2	37	1
285	3	165.1208826733453	12.736452284455574	3	5134.0	4	37	1
286	4	161.58836528859433	16.18528829668663	5	9.0	1	37	1
287	5	195.9104654971675	21.435701049361686	5	9.0	1	37	1
288	6	136.1931630465521	18.689111596560508	5	9.0	1	37	1
289	7	181.35536053304804	21.915731619183486	5	9.0	1	37	1
290	8	168.98467974736968	32.35896992455963	7	681.0	3	37	1
291	9	198.76008495064397	36.35340334888947	7	681.0	3	37	1
292	10	150.2944708407788	46.73847002046642	9	5305.0	4	37	1
293	11	251.606437548614	52.422502125409544	10	1.0	0	37	1
294	1	319.6778303185674	2.0	1	1.0	0	38	1
295	2	192.22943380044902	7.3897414138113495	2	4.0	1	38	1
296	3	71.0162855399299	12.46470106788988	3	1789.0	3	38	1
297	4	218.57467677224034	19.144676210662738	5	445.0	3	38	1
298	5	150.000738492033	31.034891033986042	7	10.0	1	38	1
